,Image_filename,Input.image_url,Answer.Gender,Answer.Rating,True.Gender,True.Gender.str
0,18_0_3_20170119151213151.jpg.chip.jpg,http://snapdocket.com/fast/18_0_3_20170119151213151.jpg.chip.jpg,0.0,1.75,0.0,Male
1,18_1_3_20170117135709510.jpg.chip.jpg,http://snapdocket.com/fast/18_1_3_20170117135709510.jpg.chip.jpg,0.8,5.0,1.0,Female
2,19_0_1_20170114025936564.jpg.chip.jpg,http://snapdocket.com/fast/19_0_1_20170114025936564.jpg.chip.jpg,0.0,0.4,0.0,Male
3,20_0_3_20170113133050904.jpg.chip.jpg,http://snapdocket.com/fast/20_0_3_20170113133050904.jpg.chip.jpg,0.0,1.6,0.0,Male
4,21_1_3_20170119154311378.jpg.chip.jpg,http://snapdocket.com/fast/21_1_3_20170119154311378.jpg.chip.jpg,0.4,2.8,1.0,Female
5,22_0_1_20170113193211629.jpg.chip.jpg,http://snapdocket.com/fast/22_0_1_20170113193211629.jpg.chip.jpg,0.0,0.8,0.0,Male
6,22_1_0_20170117141120129.jpg.chip.jpg,http://snapdocket.com/fast/22_1_0_20170117141120129.jpg.chip.jpg,1.0,5.8,1.0,Female
7,23_0_0_20170117144116074.jpg.chip.jpg,http://snapdocket.com/fast/23_0_0_20170117144116074.jpg.chip.jpg,0.0,0.4,0.0,Male
8,24_0_2_20170116165047009.jpg.chip.jpg,http://snapdocket.com/fast/24_0_2_20170116165047009.jpg.chip.jpg,0.0,2.8,0.0,Male
9,24_1_2_20170116173444326.jpg.chip.jpg,http://snapdocket.com/fast/24_1_2_20170116173444326.jpg.chip.jpg,1.0,5.4,1.0,Female
10,24_1_2_20170116174612535.jpg.chip.jpg,http://snapdocket.com/fast/24_1_2_20170116174612535.jpg.chip.jpg,1.0,5.2,1.0,Female
11,24_1_3_20170109132425493.jpg.chip.jpg,http://snapdocket.com/fast/24_1_3_20170109132425493.jpg.chip.jpg,1.0,4.0,1.0,Female
12,24_1_4_20170103230137338.jpg.chip.jpg,http://snapdocket.com/fast/24_1_4_20170103230137338.jpg.chip.jpg,1.0,5.2,1.0,Female
13,25_0_0_20170116001254628.jpg.chip.jpg,http://snapdocket.com/fast/25_0_0_20170116001254628.jpg.chip.jpg,0.0,1.0,0.0,Male
14,25_0_0_20170117191222353.jpg.chip.jpg,http://snapdocket.com/fast/25_0_0_20170117191222353.jpg.chip.jpg,0.0,1.2,0.0,Male
